Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
59,6.6,2.9,4.6,1.3,IV1
60,5.2,2.7,3.9,1.4,IV1
61,5.0,2.0,3.5,1.0,IV1
62,5.9,3.0,4.2,1.5,IV1
63,6.0,2.2,4.0,1.0,IV1
64,6.1,2.9,4.7,1.4,IV1
65,5.6,2.9,3.6,1.3,IV1
66,6.7,3.1,4.4,1.4,IV1
67,5.6,3.0,4.5,1.5,IV1
68,5.8,2.7,4.1,1.0,IV1
69,6.2,2.2,4.5,1.5,IV1
70,5.6,2.5,3.9,1.1,IV1
71,5.9,3.2,4.8,1.8,IV1
72,6.1,2.8,4.0,1.3,IV1
73,6.3,2.5,4.9,1.5,IV1
74,6.1,2.8,4.7,1.2,IV1
75,6.4,2.9,4.3,1.3,IV1
76,6.6,3.0,4.4,1.4,IV1
77,6.8,2.8,4.8,1.4,IV1
78,6.7,3.0,5.0,1.7,IV1
79,6.0,2.9,4.5,1.5,IV1
80,5.7,2.6,3.5,1.0,IV1
81,5.5,2.4,3.8,1.1,IV1
82,5.5,2.4,3.7,1.0,IV1
83,5.8,2.7,3.9,1.2,IV1
84,6.0,2.7,5.1,1.6,IV1
85,5.4,3.0,4.5,1.5,IV1
86,6.0,3.4,4.5,1.6,IV1
87,6.7,3.1,4.7,1.5,IV1
88,6.3,2.3,4.4,1.3,IV1
89,5.6,3.0,4.1,1.3,IV1
90,5.5,2.5,4.0,1.3,IV1
91,5.5,2.6,4.4,1.2,IV1
92,6.1,3.0,4.6,1.4,IV1
93,5.8,2.6,4.0,1.2,IV1
94,5.0,2.3,3.3,1.0,IV1
95,5.6,2.7,4.2,1.3,IV1
96,5.7,3.0,4.2,1.2,IV1
97,5.7,2.9,4.2,1.3,IV1
98,6.2,2.9,4.3,1.3,IV1
99,5.1,2.5,3.0,1.1,IV1
100,5.7,2.8,4.1,1.3,IV1
101,6.3,3.3,6.0,2.5,IV2
102,5.8,2.7,5.1,1.9,IV2
103,7.1,3.0,5.9,2.1,IV2
104,6.3,2.9,5.6,1.8,IV2
105,6.5,3.0,5.8,2.2,IV2
106,7.6,3.0,6.6,2.1,IV2
107,4.9,2.5,4.5,1.7,IV2
108,7.3,2.9,6.3,1.8,IV2
109,6.7,2.5,5.8,1.8,IV2
110,7.2,3.6,6.1,2.5,IV2
111,6.5,3.2,5.1,2.0,IV2
112,6.4,2.7,5.3,1.9,IV2
113,6.8,3.0,5.5,2.1,IV2
114,5.7,2.5,5.0,2.0,IV2
115,5.8,2.8,5.1,2.4,IV2
116,6.4,3.2,5.3,2.3,IV2
117,6.5,3.0,5.5,1.8,IV2
118,7.7,3.8,6.7,2.2,IV2
119,7.7,2.6,6.9,2.3,IV2
120,6.0,2.2,5.0,1.5,IV2
121,6.9,3.2,5.7,2.3,IV2
122,5.6,2.8,4.9,2.0,IV2
123,7.7,2.8,6.7,2.0,IV2
124,6.3,2.7,4.9,1.8,IV2
125,6.7,3.3,5.7,2.1,IV2
126,7.2,3.2,6.0,1.8,IV2
127,6.2,2.8,4.8,1.8,IV2
128,6.1,3.0,4.9,1.8,IV2
129,6.4,2.8,5.6,2.1,IV2
130,7.2,3.0,5.8,1.6,IV2
131,7.4,2.8,6.1,1.9,IV2
132,7.9,3.8,6.4,2.0,IV2
133,6.4,2.8,5.6,2.2,IV2
134,6.3,2.8,5.1,1.5,IV2
135,6.1,2.6,5.6,1.4,IV2
136,7.7,3.0,6.1,2.3,IV2
137,6.3,3.4,5.6,2.4,IV2
138,6.4,3.1,5.5,1.8,IV2
139,6.0,3.0,4.8,1.8,IV2
140,6.9,3.1,5.4,2.1,IV2
141,6.7,3.1,5.6,2.4,IV2
142,6.9,3.1,5.1,2.3,IV2
143,5.8,2.7,5.1,1.9,IV2
144,6.8,3.2,5.9,2.3,IV2
145,6.7,3.3,5.7,2.5,IV2
146,6.7,3.0,5.2,2.3,IV2
147,6.3,2.5,5.0,1.9,IV2
148,6.5,3.0,5.2,2.0,IV2
149,6.2,3.4,5.4,2.3,IV2
150,5.9,3.0,5.1,1.8,IV2
